drug,disease
prednisone,"Acute Lymphocytic Leukemia, Sinusitis, Adrenocortical Insufficiency, Adrenogenital Syndrome, Conjunctivitis, Allergic, Atopic Dermatitis, Allergic Reactions, Allergic Rhinitis, Aspiration Pneumonia, Ankylosing Spondylitis, Rheumatoid Arthritis, Osteoarthritis, Asthma, Eczema, Autoimmune Hemolytic Anemia, Berylliosis, COPD, Bullous Pemphigoid, Bursitis, Leukemia, Lymphoma, Chorioretinitis, Systemic Sclerosis, Cluster Headaches, Cogan's Syndrome, Nephrotic Syndrome, Corneal Ulcer, Scleroderma, Crohn's Disease, Acute, Synovitis, Dermatitis Herpetiformis, Dermatomyositis, Diffuse Large B-Cell Lymphoma, Systemic Lupus Erythematosus, Tuberculosis, Extrapulmonary, Epicondylitis, Tennis Elbow, Skin Rash, Erythroblastopenia, Psoriasis, Fibromyalgia, Giant Cell Arteritis, Gouty Arthritis, Graft-versus-host disease, Ramsay Hunt Syndrome, Herpes Zoster, Herpes Zoster Iridocyclitis, Hypercalcemia of Malignancy, Inflammatory Bowel Disease, Idiopathic Thrombocytopenic Purpura, Immunosuppression, Inflammatory Conditions, Interstitial Lung Disease, Iridocyclitis, Iritis, Juvenile Rheumatoid Arthritis, Keratitis, Lichen Planus, Lichen Sclerosus, Loeffler's Syndrome (Pulmonary Eosinophilia), Toxic Epidermal Necrolysis, Mixed Connective Tissue Disease, Multiple Sclerosis, Mycosis Fungoides, Neurosarcoidosis, Pemphigoid, Pemphigus, Pharyngitis, Polymyalgia Rheumatica, Polymyositis/Dermatomyositis, Psoriatic Arthritis, Sarcoidosis, Seborrheic Dermatitis, Thrombocytopenia, Tuberculous Meningitis, Ulcerative Colitis, Active, Uveitis, Posterior"
pregabalin,"Dercum's Disease, Generalized Anxiety Disorder, Occipital Neuralgia, Reflex Sympathetic Dystrophy Syndrome, Diabetic Peripheral Neuropathy, Restless Legs Syndrome, Fibromyalgia, Neuralgia, Neuropathic Pain, Peripheral Neuropathy, Postherpetic Neuralgia, Small Fiber Neuropathy, Spondylolisthesis, Syringomyelia"
pretomanid,"Tuberculosis, Resistant"
prilocaine,Anesthesia
primaquine,"Malaria, Malaria Prevention (Malaria Prophylaxis), Pneumocystis Pneumonia"
primidone,"Seizures (Convulsions), Benign Essential Tremor"
probenecid,"Adjunct to Antibiotic Therapy, Gout, Gouty Arthritis, Gouty Arthritis"
procainamide,"Arrhythmia, Myotonia Congenita"
procaine penicillin,"Congenital Syphilis, Cutaneous Bacillus anthracis, Diphtheria, Fusospirochetosis, Trench Mouth, Neurosyphilis, Rat-bite Fever, Streptococcal Infection, Streptococcal Infection, Syphilis, Latent, Tertiary Syphilis"
procarbazine,"Anaplastic Astrocytoma, Anaplastic Oligodendroglioma, Hodgkin's Lymphoma, Glioblastoma Multiforme"
prochlorperazine,"Hiccups, Nausea/Vomiting, Psychosis"
progesterone,"Amenorrhea, Menopausal Disorders, Endometrial Hyperplasia, Prophylaxis, Endometriosis, Gender Dysphoria, Perimenopausal Symptoms, Perimenopausal Symptoms, Premature Labor, Progesterone Insufficiency, Uterine Bleeding"
proguanil,"Malaria, Malaria Prevention (Malaria Prophylaxis)"
promethazine,"Allergic Reactions, Anaphylaxis, Vertigo, Cough, Cough, Cough and Nasal Congestion, Urticaria, Light Sedation, Motion Sickness, Nausea/Vomiting, Opiate Adjunct, Sedation"
propafenone,"Atrial Fibrillation, Atrial Flutter, Ventricular Tachycardia, Wolff-Parkinson-White Syndrome"
propantheline,Peptic Ulcer
proparacaine,Ophthalmic Surgery
propofol,Anesthesia
propranolol,"Atrial Fibrillation, Akathisia, Anxiety, Aortic Stenosis, Arrhythmia, Mitral Valve Prolapse, Benign Essential Tremor, Hemangioma, Intermittent Explosive Disorder, Migraine Prevention (Migraine Prophylaxis), Panic Disorder, Performance Anxiety, Pheochromocytoma, Portal Hypertension, Ventricular Tachycardia, Tardive Dyskinesia, Thyrotoxicosis"
propylthiouracil,"Alcoholic Liver Damage, Hyperthyroidism, Thyroid Storm"
protamine,Heparin Overdose
protein c,Protein C Deficiency
prothrombin complex,Reversal of Acquired Coagulation Factor Deficiency
prucalopride,Chronic Idiopathic Constipation
prussian blue,Radiation Emergency
pseudoephedrine,"Nasal Congestion, Nasal Congestion, Cold Symptoms, Cough and Nasal Congestion, Cough and Nasal Congestion, Cough and Nasal Congestion, Influenza, Pain/Fever, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms"
psyllium,"Constipation, Dietary Fiber Supplementation, Irritable Bowel Syndrome"
pyrantel,"Hookworm Infection (Necator or Ancylostoma), Ascariasis, Enterobiasis, Moniliformis Infection, Pinworm Infection (Enterobius vermicularis), Trichostrongylosis"
pyrazinamide,"Tuberculosis, Active, Tuberculosis, Active, Tuberculosis, Latent"
pyrethrins,"Lice, Head Lice"
pyridostigmine,"Dysautonomia, Myasthenia Gravis, Nerve Agent Pretreatment, Reversal of Nondepolarizing Muscle Relaxants"
pyridoxine,"Anemia, Drug Induced Vitamin/Mineral Deficiency, Nausea/Vomiting of Pregnancy, Nausea/Vomiting of Pregnancy"
pyrilamine,"Premenstrual Dysphoric Disorder, Premenstrual Syndrome, Premenstrual Syndrome, Rhinorrhea"
pyrimethamine,"Malaria Prevention (Malaria Prophylaxis), Pneumocystis Pneumonia Prophylaxis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
pyrithione zinc,"Dandruff, Seborrheic Dermatitis"
quetiapine,"Generalized Anxiety Disorder, Bipolar Disorder, Borderline Personality Disorder, Post Traumatic Stress Disorder, Schizophrenia, Paranoid Disorder, Insomnia, Intermittent Explosive Disorder, Obsessive Compulsive Disorder, Schizoaffective Disorder, Tourette's Syndrome"
quinapril,"Alport Syndrome, Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
quinidine,"Arrhythmia, Pseudobulbar Affect"
quinupristin,Methicillin-Resistant Staphylococcus Aureus Infection
rabeprazole,"GERD, Barrett's Esophagus, Duodenal Ulcer, Duodenal Ulcer Prophylaxis, Erosive Esophagitis, Stomach Ulcer (Gastric Ulcer), Helicobacter Pylori Infection, Zollinger-Ellison Syndrome"
"rabies immune globulin, human",Rabies Prophylaxis
"rabies vaccine, human diploid cell",Rabies Prophylaxis
"rabies vaccine, purified chick embryo cell",Rabies Prophylaxis
raloxifene,"Osteoporosis, Breast Cancer, Prevention, Prevention of Osteoporosis"
raltegravir,Occupational Exposure
ramipril,"Cardiovascular Risk Reduction, Diabetic Kidney Disease (Diabetic Nephropathy), Heart Attack (Myocardial Infarction), Left Ventricular Dysfunction"
ramucirumab,"Stomach Cancer, Gastric Cancer, Hepatocellular Carcinoma"
ranibizumab,"Diabetic Macular Edema, Diabetic Retinopathy, Macular Degeneration, Macular Edema, Myopic Choroidal Neovascularization, Retinopathy"
ranitidine,"GERD, Eczema, Cutaneous Mastocytosis, Duodenal Ulcer, Duodenal Ulcer Prophylaxis, Indigestion, Erosive Esophagitis, Laryngopharyngeal Reflux, Stomach Ulcer (Gastric Ulcer), Gastric Ulcer Maintenance Treatment, Gastrointestinal Hemorrhage, Hiatal Hernia, Urticaria, Pathological Hypersecretory Conditions, Stress Ulcer Prophylaxis, Surgical Prophylaxis, Zollinger-Ellison Syndrome"
ranolazine,Angina
rasagiline,Parkinson's Disease
rasburicase,Hyperuricemia Secondary to Chemotherapy
ravulizumab,"Hemolytic Uremic Syndrome, Paroxysmal Nocturnal Hemoglobinuria"
regadenoson,"Diagnosis and Investigation, Radionuclide Myocardial Perfusion Study"
regorafenib,"Colorectal Cancer, Gastrointestinal Stromal Tumor, Hepatocellular Carcinoma"
resorcinol,Human Papilloma Virus
retapamulin,Impetigo
rho (d) immune globulin,"Idiopathic Thrombocytopenic Purpura, Rh-Isoimmunization"
ribavirin,"Respiratory Syncytial Virus, Hepatitis C"
riboflavin,Corneal Refractive Surgery
rifabutin,"Mycobacterium avium-intracellulare, Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Tuberculosis, HIV Positive, Tuberculosis, Prophylaxis"
rifampin,"Bartonellosis, Endocarditis, Haemophilus influenzae Prophylaxis, Legionella Pneumonia, Leprosy, Leprosy, Borderline, Leprosy, Tuberculoid, Meningitis, Meningococcal Meningitis Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Nasal Carriage of Staphylococcus aureus, Tuberculosis, Active, Tuberculosis, Active, Tuberculosis, Active, Tuberculosis, Latent, Tuberculosis, Prophylaxis"
rifapentine,"Tuberculosis, Latent"
rifaximin,"Crohn's Disease, Diarrhea, Traveler's Diarrhea, Hepatic Encephalopathy"
rilonacept,"Cryopyrin-Associated Periodic Syndromes, Familial Cold Autoinflammatory Syndrome, Gout, Muckle Wells Syndrome"
riluzole,Amyotrophic Lateral Sclerosis
rimabotulinumtoxinB,"Cervical Dystonia (Spasmodic Torticollis), Sialorrhea"
rimantadine,"Influenza Prophylaxis, Influenza A"
riociguat,Pulmonary Hypertension
risedronate,"Osteoporosis, Paget's Disease, Prevention of Osteoporosis"
risperidone,"Agitation, Asperger Syndrome, Autism, Body Dysmorphic Disorder, Bipolar Disorder, Borderline Personality Disorder, Head Injury, Post Traumatic Stress Disorder, Schizophrenia, Tic Disorder, Paranoid Disorder, Mania, Nightmares, Social Anxiety Disorder, Schizoaffective Disorder, Severe Mood Dysregulation"
ritonavir,"HIV Infection, Hepatitis C, Nonoccupational Exposure"
rituximab,"Bullous Pemphigoid, Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma, Diffuse Large B-Cell Lymphoma, Diffuse Large B-Cell Lymphoma, Evan's Syndrome, Focal Segmental Glomerulosclerosis, Follicular Lymphoma, Follicular Lymphoma, Granulomatosis with Polyangiitis, Idiopathic Thrombocytopenic Purpura, Mantle Cell Lymphoma, Microscopic polyangiitis, Pemphigoid, Pemphigus, Pemphigus Vulgaris"
rivaroxaban,"Atrial Fibrillation, Coronary Artery Disease, Deep Vein Thrombosis, Cardiovascular Risk Reduction, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, Prophylaxis, Deep Vein Thrombosis, Recurrent Event, Peripheral Arterial Disease, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism, Pulmonary Embolism, Recurrent Event"
rivastigmine,"Alzheimer's Disease, Lewy Body Dementia"
rizatriptan,Migraine
rocuronium,Anesthesia
roflumilast,COPD
romidepsin,"Cutaneous T-cell Lymphoma, Peripheral T-cell Lymphoma"
romiplostim,Idiopathic Thrombocytopenic Purpura
ropinirole,"Restless Legs Syndrome, Periodic Limb Movement Disorder, Parkinson's Disease, Tardive Dyskinesia"
ropivacaine,"Cesarean Section, Labor Pain, Local Anesthesia"
rosiglitazone,Nonalcoholic Fatty Liver Disease
rosuvastatin,"Atherosclerosis, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hypertriglyceridemia, Hyperlipoproteinemia, Prevention of Cardiovascular Disease"
rotavirus vaccine,Gastroenteritis
rotigotine,Restless Legs Syndrome
rubella virus vaccine,"Measles Prophylaxis, Measles Prophylaxis, Mumps Prophylaxis, Mumps Prophylaxis, Rubella Prophylaxis, Rubella Prophylaxis, Vaccination and Prophylaxis, Varicella-Zoster, Prophylaxis"
rubidium chloride rb-82,Positron Emission Tomography Imaging
rufinamide,Lennox-Gastaut Syndrome
ruxolitinib,"Myelofibrosis, Graft-versus-host disease, Myeloproliferative Disorders, Polycythemia Vera"
saccharomyces boulardii lyo,Diarrhea
sacrosidase,Sucrase-Isomaltase Deficiency
salicylic acid,"Warts, Dandruff, Dandruff, Dermatological Disorders, Foot Care"
saliva substitutes,"Xerostomia, Mucositis"
salmeterol,"Allergic Asthma, Asthma, Maintenance, Bronchospasm Prophylaxis, COPD, Maintenance"
sapropterin,Phenylketonuria
sargramostim,"Aplastic Anemia, Bone Marrow Transplantation, Bone Marrow Transplantation, Failure or Engraftment Delay, Bone Marrow Transplantation, Myeloid Reconstruction, Neutropenia Associated with Chemotherapy, Neutropenia Associated with Radiation"
scopolamine,"Duodenal Ulcer, Enterocolitis, Irritable Bowel Syndrome, Motion Sickness, Nausea/Vomiting, Parkinsonian Tremor"
sebelipase alfa,Lysosomal Acid Lipase Deficiency
secnidazole,Bacterial Vaginitis
secobarbital,"Light Sedation, Sedation"
secukinumab,"Plaque Psoriasis, Psoriatic Arthritis"
selegiline,Parkinson's Disease
selenium,Vitamin/Mineral Supplementation and Deficiency
selenium sulfide,"Dandruff, Tinea Versicolor, Seborrheic Dermatitis"
semaglutide,Cardiovascular Risk Reduction
senna,"Constipation, Acute"
sertraline,"Anxiety and Stress, Generalized Anxiety Disorder, Body Dysmorphic Disorder, Bipolar Disorder, Borderline Personality Disorder, Post Traumatic Stress Disorder, Persistent Depressive Disorder, Major Depressive Disorder, Depression, Postpartum Depression, Dissociative Identity Disorder, Dysautonomia, Obsessive Compulsive Disorder, Panic Disorder, Social Anxiety Disorder, Premenstrual Dysphoric Disorder, Somatoform Pain Disorder, Transverse Myelitis, Trichotillomania, Vulvodynia"
sevelamer,Hyperphosphatemia of Renal Failure
sildenafil,"Sexual Dysfunction, SSRI Induced, Erectile Dysfunction, Pulmonary Hypertension"
silodosin,Benign Prostatic Hyperplasia
siltuximab,Multicentric Castleman’s Disease
silver,Dermatological Disorders
silver nitrate,"Warts, Topical Disinfection"
silver sulfadiazine,"Burns, External"
simethicone,"Gas, Gas, Diarrhea, Acute, Indigestion, Endoscopy or Radiology Premedication, Laryngopharyngeal Reflux, Functional Gastric Disorder, Hiatal Hernia, Postoperative Gas Pains"
simvastatin,"Cardiovascular Risk Reduction, High Cholesterol, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, High Cholesterol, Familial Homozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia, Prevention of Cardiovascular Disease"
sincalide,"Barium Meal Transit, Gallbladder Contraction, Pancreatic Secretion"
sinecatechins,Condylomata Acuminata
sirolimus,"Lymphangioleiomyomatosis, Organ Transplant, Rejection Prophylaxis"
sitagliptin,"Diabetes, Type 2, Diabetes, Type 2"
smallpox and monkeypox vaccine,"Monkeypox Prophylaxis, Smallpox Prophylaxis"
smallpox vaccine,Smallpox Prophylaxis
sodium acetate,Hyponatremia
sodium benzoate,"Hyperammonemia, Respiratory Failure"
sodium bicarbonate,"Alkylating Agent Cystitis, GERD, Acidosis, Asystole, Diabetic Ketoacidosis, Erosive Esophagitis, Stomach Ulcer (Gastric Ulcer), Gastrointestinal Hemorrhage, Hyperkalemia, Hyperuricemia Secondary to Chemotherapy, Metabolic Acidosis, Urinary Alkalinization"
sodium chloride,"Nasal Congestion, Postural Orthostatic Tachycardia Syndrome, Head Lice, Medical Procedures"
sodium chondroitin sulfate,Ophthalmic Viscoelastic Agent
sodium citrate,"Alkylating Agent Cystitis, Urinary Tract Stones, Metabolic Acidosis, Urinary Alkalinization, Urinary Alkalinization"
sodium hyaluronate,"Fecal Incontinence, Dermatologic Lesion, Mucositis, Ophthalmic Viscoelastic Agent, Ophthalmic Viscoelastic Agent"
sodium hypochlorite,Topical Disinfection
sodium iodide-i-131,"Thyroid Cancer, Diagnosis and Investigation, Hyperthyroidism"
sodium nitrite,"Cyanide Poisoning, Cyanide Poisoning"
sodium oxybate,"Cataplexy, Narcolepsy, Fibromyalgia"
sodium phenylacetate,Hyperammonemia
sodium phenylbutyrate,Urea Cycle Disorders
sodium phosphate,"Hypophosphatemia, Hypophosphatemia, Urinary Acidification"
sodium picosulfate,Bowel Preparation
sodium polystyrene sulfonate,Hyperkalemia
sodium sulfate,Bowel Preparation
sodium tetradecyl sulfate,Varicose Veins
sodium thiosulfate,"Cyanide Poisoning, Cyanide Poisoning"
sodium zirconium cyclosilicate,Hyperkalemia
sofosbuvir,"Hepatitis C, Hepatitis C, Hepatitis C, Hepatitis C"
solifenacin,"Urinary Incontinence, Urinary Frequency"
solriamfetol,"Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome"
somatropin,"Adult Human Growth Hormone Deficiency, AIDS Related Wasting, Burns, Nitrogen Retention, Cachexia, Growth Retardation, Chronic Renal Failure, Hypopituitarism, Idiopathic Short Stature, Noonan's Syndrome, Pediatric Growth Hormone Deficiency, Prader-Willi Syndrome, Short Bowel Syndrome, Short Stature for Age, Turner Syndrome"
sonidegib,Basal Cell Carcinoma
sorafenib,"Renal Cell Carcinoma, Thyroid Cancer, Hepatocellular Carcinoma, Hepatic Tumor"
sotalol,"Atrial Fibrillation, Atrial Flutter, Ventricular Arrhythmia"
spinosad,"Lice, Head Lice"
spironolactone,"Acne, Alopecia, Edema, Edema, Ascites, Heart Failure (Congestive Heart Failure), Nephrotic Syndrome, Gender Dysphoria, Hirsutism, Hypokalemia, Primary Hyperaldosteronism, Primary Hyperaldosteronism Diagnosis"
sterile talc,Pleural Effusion
stiripentol,Dravet Syndrome
streptomycin,"Brucellosis, Plague, Endocarditis, Mycobacterium avium-intracellulare, Treatment, Rabbit Fever (Tularemia), Tuberculosis, Active"
streptozocin,Pancreatic Cancer
succimer,"Lead Poisoning, Severe"
succinylcholine,Anesthesia
sucralfate,"GERD, Duodenal Ulcer, Duodenal Ulcer Prophylaxis, Stomach Ulcer (Gastric Ulcer), Hyperphosphatemia of Renal Failure, Stomatitis, Stress Ulcer Prophylaxis"
sucroferric oxyhydroxide,Hyperphosphatemia of Renal Failure
sugammadex,"Reversal of Neuromuscular Blockade, Reversal of Nondepolarizing Muscle Relaxants"
sulbactam,"Aspiration Pneumonia, Deep Neck Infection, Epiglottitis"
sulconazole,Impetigo
sulfacetamide sodium,"Rosacea, Blepharitis, Conjunctivitis, Eye Conditions, Keratitis, Keratoconjunctivitis, Seborrheic Dermatitis, Seborrheic Dermatitis, Secondary Cutaneous Bacterial Infections, Trachoma, Uveitis"
sulfadiazine,"Rheumatic Fever Prophylaxis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
sulfamethoxazole,"Acne, Urinary Tract Infection, Sinusitis, Bacterial Infection, Bacterial Skin Infection, Bronchitis, Pneumonia, Prostatitis, Prevention of Bladder infection (Cystitis Prophylaxis), Diverticulitis, Traveler's Diarrhea, Otitis Media, Epiglottitis, Granuloma Inguinale, Infection Prophylaxis, Kidney Infections (Pyelonephritis), Melioidosis, Meningitis, Nocardiosis, Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis, Upper Respiratory Tract Infection, Shigellosis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
sulfasalazine,"Alopecia, Rheumatoid Arthritis, Ulcerative Colitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Inflammatory Bowel Disease, Juvenile Rheumatoid Arthritis, Lymphocytic Colitis, Psoriatic Arthritis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance, Uveitis"
sulfur,"Rosacea, Dandruff, Seborrheic Dermatitis"
sulindac,"Tendonitis, Ankylosing Spondylitis, Bursitis, Familial Adenomatous Polyposis, Juvenile Rheumatoid Arthritis"
sumatriptan,"Migraine, New Daily Persistent Headache, Cluster Headaches, Cyclic Vomiting Syndrome"
sunitinib,"Renal Cell Carcinoma, Pancreatic Cancer, Gastrointestinal Stromal Tumor"
tacrolimus,"Atopic Dermatitis, Nephrotic Syndrome, Crohn's Disease, Graft-versus-host disease, Organ Transplant, Rejection Prophylaxis, Organ Transplant, Rejection Reversal, Perioral Dermatitis"
tadalafil,"Benign Prostatic Hyperplasia, Erectile Dysfunction, Pulmonary Hypertension"
tafamidis,Amyloid Cardiomyopathy
tafenoquine,Malaria Prevention (Malaria Prophylaxis)
tafluprost,"Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension"
taliglucerase alfa,Gaucher Disease
talimogene laherparepvec,"Melanoma, Melanoma, Metastatic"
tamoxifen,"Breast Cancer, Breast Cancer, Adjuvant, Breast Cancer, Male, Breast Cancer, Metastatic, Breast Cancer, Palliative, Breast Cancer, Prevention, McCune-Albright Syndrome, Precocious Puberty"
tamsulosin,"Benign Prostatic Hyperplasia, Benign Prostatic Hyperplasia, Urinary Tract Stones"
tapentadol,Diabetic Peripheral Neuropathy
tasimelteon,Non-24-Hour Sleep Wake Disorder
tavaborole,"Onychomycosis, Toenail"
tazarotene,"Facial Wrinkles, Skin Pigmentation Disorder"
tazemetostat,Epithelioid Sarcoma
tazobactam,"Aspiration Pneumonia, Appendectomy, Appendicitis, Bacteremia, Bone infection (Osteomyelitis), Deep Neck Infection, Endometritis, Febrile Neutropenia, Intraabdominal Infection, Nosocomial Pneumonia, Peritonitis"
tbo-filgrastim,Neutropenia Associated with Chemotherapy
tecovirimat,Smallpox
teduglutide,Short Bowel Syndrome
tegaserod,"Constipation, Chronic"
telmisartan,"Cardiovascular Risk Reduction, Prevention of Cardiovascular Disease"
telotristat,Carcinoid Syndrome Diarrhea
temazepam,Insomnia
temozolomide,"Anaplastic Astrocytoma, Anaplastic Oligodendroglioma, Melanoma, Glioblastoma Multiforme, Melanoma, Metastatic"
temsirolimus,Renal Cell Carcinoma
teniposide,Acute Lymphocytic Leukemia
tenofovir,"HIV Infection, HIV Infection, HIV Infection, Hepatitis B, Nonoccupational Exposure, Nonoccupational Exposure, Occupational Exposure, Occupational Exposure, Pre-Exposure Prophylaxis"
tenofovir alafenamide,"Hepatitis B, Pre-Exposure Prophylaxis"
teprotumumab,Thyroid Eye Disease
terazosin,"Benign Prostatic Hyperplasia, Hyperhidrosis"
terbinafine,"Tinea Pedis, Tinea Corporis, Cutaneous Candidiasis, Onychomycosis, Fingernail, Tinea Cruris, Tinea Capitis, Onychomycosis, Toenail, Tinea Versicolor"
terbutaline,"Asthma, acute, Allergic Asthma, Premature Labor"
terconazole,Vaginal Yeast Infection
teriflunomide,Multiple Sclerosis
teriparatide,"Osteoporosis, Hypoparathyroidism"
tesamorelin,Lipodystrophy
testosterone,"Breast Cancer, Palliative, Delayed Puberty, Male, Gender Dysphoria, Hypogonadism, Male, Klinefelter Syndrome, Postpartum Breast Pain"
tetanus immune globulin,"Tetanus, Tetanus Prophylaxis"
tetanus toxoid,"Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis"
tetrabenazine,"Huntington's Disease, Tardive Dyskinesia"
tetracaine,"Allergic Urticaria, Cold Sores (Herpes Simplex Labialis), Skin Rash, Local Anesthesia, Sore Throat"
tetracycline,"Acne, Brucellosis, Bullous Pemphigoid, Chlamydia Infection, Ehrlichiosis, Epididymitis, Sexually Transmitted, Gonococcal Infection, Uncomplicated, Helicobacter Pylori Infection, Helicobacter Pylori Infection, Lyme Disease, Arthritis, Lyme Disease, Carditis, Lyme Disease, Erythema Chronicum Migrans, Lyme Disease, Neurologic, Ocular Rosacea, Ornithosis, Pemphigoid, Pemphigus, Psittacosis, Rickettsial Infection, Syphilis, Early, Syphilis, Latent, Tertiary Syphilis"
tetrahydrozoline,"Eye Redness, Eye Redness/Itching"
tetrofosmin,Diagnosis and Investigation
thalidomide,"Multiple Myeloma, Leprosy, Erythema Nodosum Leprosum"
theophylline,"Asthma, acute, Apnea of Prematurity, Asthma, Maintenance"
thiamine,"Beriberi, Vitamin B1 Deficiency, Vitamin/Mineral Supplementation and Deficiency, Wernicke's Encephalopathy"
thioguanine,Acute Nonlymphocytic Leukemia
thiotepa,"Bladder Cancer, Cancer, Serosal Cavity Neoplastic Disease"
thiothixene,Psychosis
thonzonium bromide,"Acute Otitis Externa, Chronic Otitis Media, Otitis Externa"
thrombin,Hemostasis
thyroid desiccated,"Thyroid Cancer, Hashimoto's disease (Chronic Lymphocytic Thyroiditis), Underactive Thyroid (Hypothyroidism), Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy), TSH Suppression"
thyrotropin alpha,Thyroid Cancer
ticagrelor,"Acute Coronary Syndrome, Myocardial Infarction, Prophylaxis, Prevention of Atherothrombotic Events"
ticlopidine,Cerebral Thrombosis/Embolism
tigecycline,Intraabdominal Infection
timolol,"Glaucoma, Glaucoma, Open Angle, Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension, Intraocular Hypertension, Intraocular Hypertension, Intraocular Hypertension"
tinidazole,"Amebiasis, Bacterial Vaginitis, Giardiasis, Trichomoniasis"
tioconazole,Vaginal Yeast Infection
tiopronin,Cystinuria
tiotropium,"COPD, COPD, Maintenance"
tipiracil,Gastric Cancer
tirofiban,Acute Coronary Syndrome
tisagenlecleucel,"B Cell Lymphoma, Diffuse Large B-Cell Lymphoma"
tizanidine,"Muscle Spasm (Involuntary Hypertonicity), Cluster Headaches"
tobramycin,"Conjunctivitis, Bacterial, Conjunctivitis, Bacterial, Cyclitis, Cystic Fibrosis, Endocarditis, Iritis, Keratitis, Postoperative Ocular Inflammation, Rabbit Fever (Tularemia), Sepsis, Shunt Infection, Uveitis"
tocilizumab,"Still's Disease, Cytokine Release Syndrome, Systemic Sclerosis, Giant Cell Arteritis, Juvenile Idiopathic Arthritis"
tolmetin,Inflammatory Conditions
tolnaftate,"Tinea Pedis, Tinea Corporis, Tinea Cruris, Tinea Versicolor"
tolterodine,"Urinary Incontinence, Urinary Frequency"
tolvaptan,"Euvolemic Hyponatremia, Hyponatremia"
topiramate,"Seizures (Convulsions), Bipolar Disorder, Borderline Personality Disorder, Bulimia, Diabetic Peripheral Neuropathy, Fibromyalgia, Lennox-Gastaut Syndrome, Migraine Prevention (Migraine Prophylaxis), Obesity, Obesity, Seizure Prevention (Seizure Prophylaxis), Smoking Cessation, Trigeminal Neuralgia, Tourette's Syndrome, Vulvodynia, Weight Loss"
topotecan,"Cancer, Cervical Cancer, Small Cell Lung Cancer, Ovarian Cancer"
torsemide,"Edema, Ascites, Renal Failure, Nonobstructive Oliguria"
trabectedin,Soft Tissue Sarcoma
trace elements,Total Parenteral Nutrition
tramadol,"Back Pain, Chronic Pain, Restless Legs Syndrome, Fibromyalgia, Obsessive Compulsive Disorder, Pain, Syringomyelia, Vulvodynia"
trametinib,"Thyroid Cancer, Melanoma, Metastatic"
trandolapril,"Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
tranexamic acid,"Bleeding Disorder, Factor IX Deficiency, Menorrhagia, Hemophilia A, Melasma, Menstrual Disorders"
trastuzumab,"Breast Cancer, Breast Cancer, Adjuvant, Breast Cancer, Metastatic, Esophageal Carcinoma, Gastric Cancer, Salivary Gland Cancer"
travoprost,"Glaucoma, Open Angle, Intraocular Hypertension"
trazodone,"Anxiety, Reflex Sympathetic Dystrophy Syndrome, Major Depressive Disorder, Depression, Insomnia, Fibromyalgia, Headache, Sedation"
treprostinil,Pulmonary Hypertension
